ID,Categoria,Perfil,Caso de Teste,Passos (resumo),Resultado Esperado,Status,Resultado Obtido,Evidencia,Prioridade
M0-01,Ambiente,QA,Subir backend/frontend,"1) Rodar backend dev; 2) Rodar frontend dev; 3) Abrir app",Backend online na 3333 e frontend carregando sem erro,,,
M1-01,Explorar,Publico,Filtro por regiao,"1) Abrir Explorar; 2) Selecionar Centro/Zona Norte; 3) Limpar filtros",Lista atualiza por regiao e reseta corretamente,,,
M1-02,Explorar,Publico,Busca por casa,"1) Digitar nome/bairro/regiao; 2) Validar cards",Busca filtra corretamente e sem travar,,,
M1-03,Explorar,Publico,CTA Partiu Agora,"1) Clicar Partiu Agora; 2) Ver botoes Maps/Waze/Uber; 3) Voltar",Painel de rota abre sem quebrar layout do card,,,
M1-04,Casa Detalhe,Publico,Abrir casa e listar proximas atracoes,"1) Entrar em casa via card; 2) Conferir lista",Lista carrega com status e horarios corretos,,,
M1-05,Casa Detalhe,Publico,Selo verificado nos cards de atracao,"1) Abrir casa com artista verificado; 2) Validar selo ao lado do nome",Selo aparece consistente no nome exibido,,,
M1-06,Evento Detalhe,Publico,Abrir evento e metadata,"1) Abrir evento; 2) Ver preco/politica/endereco/horario",Dados completos e coerentes com cadastro,,,
M1-07,Evento Detalhe,Publico,Rota no detalhe do evento,"1) Clicar Como chegar; 2) Testar Maps/Waze/Uber",Links externos abrem corretamente,,,
M1-08,Evento Detalhe,Publico,Compartilhamento,"1) Preencher mensagem; 2) Copiar link; 3) Testar WhatsApp/Telegram/Facebook",Compartilhamento funciona e sem quebrar layout,,,
M1-09,Evento Detalhe,Publico,Adicionar no Radar,"1) Clicar Acho que eu vou",Evento entra no Radar com feedback,,,
M1-10,Radar,Publico/Flogado,Filtro por regiao no Radar,"1) Abrir Meu Radar; 2) Trocar filtro",Cards atualizam corretamente,,,
M1-11,Radar,Publico/Flogado,Selo verificado no Radar,"1) Abrir Radar com artista verificado",Selo aparece ao lado do nome principal do card,,,
M1-12,Radar,Publico/Flogado,Botoes Eu Fui / Nao fui,"1) Evento iniciado; 2) Validar exibicao dos botoes",Botoes aparecem apenas na janela definida,,,
M1-13,Radar->Historico,Publico/Flogado,Eu Fui grava historico,"1) Clicar Eu Fui!; 2) Abrir Historico",Evento registrado no historico e feedback de sucesso,,,
